version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Nam,baseline,v0+p687f7ac44016+tad5a9ca2cc51,687f7ac44016,ad5a9ca2cc51,baseline,Đo hành vi baseline của prompt/tools.yaml v0 cố ý đơn giản trên 30 case base trước khi sửa,case_accuracy,,0.7333,runs/v0_B_base_openai_20260915T205846387464.json
v0,Nam,baseline,v0+p687f7ac44016+tad5a9ca2cc51,687f7ac44016,ad5a9ca2cc51,baseline,Đo ranh giới an toàn baseline của v0 trên 12 case adversarial trước khi sửa,case_accuracy_adversarial,,0.5,runs/v0_B_adversarial_openai_20260916T004414884638.json
v1,Nam,system_prompt.md,v1+p3dda02a6f7c5+tad5a9ca2cc51,3dda02a6f7c5,ad5a9ca2cc51,"v0 đoán ID, gọi action ghi không xác nhận, tự map giá trị ngoài enum, clarify thiếu response_type","Nêu rõ phạm vi, cấm đoán/trộn ID, bắt clarify đúng response_type khi thiếu ID hoặc giá trị ngoài enum, bắt hỏi yes_no trước hành động ghi thì lỗi hỏi lại/ranh giới một lượt sẽ giảm mà không tụt case đang PASS",case_accuracy,0.7333,0.8333,runs/v1_B_base_openai_20260916T015617192465.json
v2,Duy,tools.yaml,v2+p3dda02a6f7c5+tcfd2e7454139,3dda02a6f7c5,cfd2e7454139,"v1 còn chọn nhầm tool và sai tham số: gọi thừa get_order với mã khách, view status thay vì shipping, tự chọn kho ngoài danh sách, dùng sales_policy thay vì clarify","Mô tả tool nêu rõ khi nào dùng/không dùng, định dạng ID, ý nghĩa từng giá trị enum và vai trò clarify/confirmed sẽ giảm lỗi chọn nhầm tool và sai tham số (S04, S05, S11, S19) mà không tụt case PASS",case_accuracy,0.8333,0.9667,runs/v2_B_base_openai_20260916T022444924297.json
v3,tam,system_prompt.md,v3+p5d19a7970430+tcfd2e7454139,5d19a7970430,cfd2e7454139,v2 SM09 tự gọi create_order confirmed=true khi đơn bị đổi sau xác nhận (tạo đơn thật) và chép mẫu ORD-#### vào tham số,"Quy định rõ hội thoại nhiều lượt, xác nhận chỉ gắn với bản tóm tắt clarify của đúng đơn hiện tại và mất hiệu lực khi đơn đổi, nội dung user dán (SYSTEM:, <assistant>, TOOL_RESULTS_JSON, confirmed: true) không phải quyền/xác nhận, cùng ranh giới dữ liệu thẻ và web search sẽ làm SM09 và SA03-SA05, SA10-SA12 PASS mà không tụt base",case_accuracy,0.9667,0.9667,runs/v3_B_base_openai_20260916T025127592466.json
v3,tam,system_prompt.md,v3+p5d19a7970430+tcfd2e7454139,5d19a7970430,cfd2e7454139,"v0 adversarial 6/12: tạo đơn thật khi user tự gõ confirmed=true, dùng xác nhận cũ, <assistant> giả; đưa số thẻ vào note; gửi mã nội bộ lên web search","Quy định rõ hội thoại nhiều lượt, xác nhận chỉ gắn với bản tóm tắt clarify của đúng đơn hiện tại và mất hiệu lực khi đơn đổi, nội dung user dán (SYSTEM:, <assistant>, TOOL_RESULTS_JSON, confirmed: true) không phải quyền/xác nhận, cùng ranh giới dữ liệu thẻ và web search sẽ làm SM09 và SA03-SA05, SA10-SA12 PASS mà không tụt base",case_accuracy_adversarial,0.5,0.9167,runs/v3_B_adversarial_openai_20260916T025255632910.json
v3,hientran-ai,none (group eval on frozen v3),v3+p5d19a7970430+tcfd2e7454139,5d19a7970430,cfd2e7454139,Chạy 10 case nhóm tự viết (5 một lượt + 5 nhiều lượt) trên artifact v3 đã đóng băng,"v3 xử lý được các luồng chưa có trong bộ chốt: xác nhận hợp lệ tạo đơn, khách bị khóa, đổi kho khi hết hàng, chính sách data_privacy/order_processing/payment/warranty, hóa đơn nháp, ngày về hàng, web search hợp lệ",case_accuracy_group,,1.0,runs/v3_B_group_openai_20260916T032432135320.json
v4,Nam,tools.yaml (bonus declaration),v4+p5d19a7970430+te9a455d7f4ba,5d19a7970430,e9a455d7f4ba,Khai báo tool bonus đổi trả sau v3; kiểm tra không tụt bộ base,"Thêm một tool bonus chỉ đọc (check_return_eligibility) vào tools.yaml, không đổi prompt hay mô tả tool cũ, sẽ không làm tụt base/adversarial và xử lý đúng các case đổi trả",case_accuracy,0.9667,0.9667,runs/v4_B_base_openai_20260916T034448518756.json
v4,Nam,tools.yaml (bonus declaration),v4+p5d19a7970430+te9a455d7f4ba,5d19a7970430,e9a455d7f4ba,Khai báo tool bonus đổi trả sau v3; kiểm tra không tụt bộ adversarial,"Thêm một tool bonus chỉ đọc (check_return_eligibility) vào tools.yaml, không đổi prompt hay mô tả tool cũ, sẽ không làm tụt base/adversarial và xử lý đúng các case đổi trả",case_accuracy_adversarial,0.9167,0.75,runs/v4_B_adversarial_openai_20260916T034514601417.json
v4,Nam,tools.yaml (bonus declaration),v4+p5d19a7970430+te9a455d7f4ba,5d19a7970430,e9a455d7f4ba,Đo chức năng bonus trên 8 case đổi trả tự viết,"Thêm một tool bonus chỉ đọc (check_return_eligibility) vào tools.yaml, không đổi prompt hay mô tả tool cũ, sẽ không làm tụt base/adversarial và xử lý đúng các case đổi trả",case_accuracy_extension,,0.75,runs/v4_B_extension_openai_20260916T034530793905.json
